"Year","Month","Pl_inp_t_C_ha","OA_inp_t_C_ha","TEMP_C","RM_Temp","RAIN_mm","PEVAP_mm","SMD_mm","RM_Moist","PC","RM_PC","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha"
1939,1,0,0,3.99,0.405041364799995,114.5,8.2,0,1,1,0.6,0.131132356697683,5.78608163565279,0.869288454504148,32.6176578664865,3.0041,42.4082603133411,0.0696601422523942
1939,2,0,0,5.37,0.533478324308255,30.7,17.2,0,1,1,0.6,0.100430707034316,5.73996516075944,0.865265086450403,32.6133465351759,3.0041,42.3231074894201,0.154812966173425
1939,3,0,0,5.46,0.542529809884423,51.6,43.1,0,1,1,0.6,0.0765698275173931,5.69344318110162,0.860450812376935,32.6080296498742,3.0041,42.2425934708701,0.235326984723343
1939,4,0,0,8.3,0.868754071811216,90.3,68.2,0,1,1,0.6,0.0495918282237205,5.61973147510419,0.851756741714827,32.5980546282476,3.0041,42.1232346732903,0.354685782303194
1939,5,0,0,10.53,1.17567220836429,40.4,99.3,-34.075,0.547972705396705,1,0.6,0.0359348625612691,5.56568650510148,0.844703681448385,32.5898139148049,3.0041,42.040238963916,0.437681491677451
1939,6,0,0,13.55,1.65060319843175,74.9,112.5,-43.55,0.244640287449645,1,0.6,0.0293650709701709,5.53207669566464,0.840096702801917,32.5843745448422,3.0041,41.990013014279,0.487907441314533
1939,7,0,0,15.56,1.99702879506593,59.8,128.9,-44.9444,0.2,1,0.6,0.0240492311275801,5.49903263005498,0.835452309756823,32.5788238624627,3.0041,41.9414580334021,0.536462422191371
1939,8,1.4643,0,16.06,2.08626628613496,96.4,104.4,-26.8444,0.779452956711535,1,0.6,0.87484271535583,5.96664478182119,0.816510265004528,32.5548951914616,3.0041,43.2169929536432,0.725227501950318
1939,9,0,0,14.07,1.73818179683956,25.2,64.2,-26.8444,0.779452956711535,0,1,0.282878741987627,5.76793414606329,0.851906554111988,32.591847628699,3.0041,42.4986670708619,1.44355338473165
1939,10,0,0,7.91,0.819458158616149,103.6,27.7,0,1,0,1,0.14289877799554,5.65097179133145,0.848904538363533,32.587913602878,3.0041,42.2347887105686,1.70743174502494
