"Year","Month","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha","deltaC"
1,20916,0.160569657575825,5.82134267958489,0.871744600829234,32.6201635176035,3.0041,42.4779204555935,0,-84.3248961365297
1939,12,0.0796343321237798,5.55271386022809,0.840234320271367,32.5775646974984,3.0041,42.0542472101217,1.88797324547183,-85.631268458219
1940,12,0.107519687979512,5.30254511005989,0.79787692932452,32.520493421534,3.0041,41.7325351488979,2.78058530669561,-86.4856060836052
1941,12,0.126577133917714,5.07212061843685,0.763380790209475,32.4459872388822,3.0041,41.4121657814463,4.42755467414727,-87.4873853501293
1942,12,0.0770690676590622,4.90228622770679,0.744838987081891,32.3908089441552,3.0041,41.119103226603,5.85831722899054,-88.3520390349733
1943,12,0.127321721775962,4.68293563153125,0.709207504014916,32.2981866212579,3.0041,40.8217514785801,7.29796897701344,-89.236388760865
1944,12,0.128503158416778,4.6396689991252,0.705359975478712,32.2432928750112,3.0041,40.7209250080319,8.76029544756159,-89.7519790698156
1945,12,0.0885525892428241,4.4635583871664,0.683424130995782,32.1809089179626,3.0041,40.4205440253676,9.70057643022588,-90.7573705025597
1946,12,0.121160597630455,4.11356049800334,0.631811630916113,32.0181506115425,3.0041,39.8887833380924,11.3878371175012,-92.4120229430954
1947,12,0.144711838466484,4.14244805569034,0.635537968016695,31.9694762160448,3.0041,39.8962740782183,12.4417463773752,-92.9624546079908
1948,12,0.136482710433305,3.88625260141953,0.603504206584298,31.794400585413,3.0041,39.4247401038501,14.3971803517434,-94.5007932312143
1949,12,0.150192571052954,4.16169658207261,0.647875311339693,31.7683260526568,3.0041,39.7321905171221,16.0639299384714,-94.7450650238034
1950,12,0.375229226040728,4.51359481411739,0.679526011841431,31.7210096544693,3.0041,40.2934597064688,18.1224607491247,-94.1686724541178
1951,12,0.111965826435605,4.25100768663051,0.666284108951826,31.6276050549918,3.0041,39.6609626770097,20.0248577785838,-95.4123072067908
1952,12,0.0701439067908809,4.05677789464526,0.641243721048003,31.5196006910318,3.0041,39.2918662135159,21.5683542420776,-96.2506912427675
1953,12,0.0984431208364651,4.03621435079931,0.635747581846883,31.4392690658709,3.0041,39.2137741193536,22.9997463362399,-96.6145923230735
1954,12,0.0554981054450911,4.25871098293809,0.677958215866344,31.4183134254747,3.0041,39.4145807297242,24.8900397258693,-96.3989641310363
1955,12,0.467859452782832,5.05376593320042,0.754510938696835,31.4753263719593,3.0041,40.7555626966394,26.5710577589541,-93.3827274418194
1956,12,0.983735579208017,5.40642119449286,0.748977415587713,31.4365165583559,3.0041,41.5797507476445,28.344669707949,-90.1798517157366
1957,12,0.0496215343870374,5.17225870417844,0.810165754074195,31.49014206327,3.0041,40.5262880559096,31.2068323996839,-90.5512861344684
1958,12,0.123778132556706,4.80834259392612,0.742288796744647,31.3771549216298,3.0041,40.0556644448572,32.9913560107363,-88.5609560225684
1959,12,0.158796984588626,5.05102235365997,0.775714608080512,31.3903643078123,3.0041,40.3799982541414,34.6960222014521,-81.3619577136031
1960,12,0.303372149431411,5.45719137136789,0.820360955999373,31.4287303438812,3.0041,41.0137548206798,36.6564656349137,-73.7919070916977
1961,12,1.24691753962418,5.72936071605071,0.757194612686051,31.3393911284118,3.0041,42.0769639967727,38.1904564588208,-60.3843230733535
1962,12,0.0821253599388297,5.63998836015598,0.867820923967795,31.4689607950777,3.0041,41.0629954391403,41.1776250164532,-60.8213190376039
1963,12,0.0856304409384445,5.24260690791268,0.802722462850696,31.3918020244547,3.0041,40.5268618361565,42.6944586194371,-51.5265650230887
1964,12,0.255399676402891,5.47788850770828,0.819468480840474,31.4017985413776,3.0041,40.9586552063292,44.2916652492643,-25.716176490921
1965,12,0.504349087488245,6.25176629922647,0.910553591152313,31.5115234388044,3.0041,42.1822924166714,46.5911280389221,8.90873280331617
1966,12,1.00943707147719,6.07712894813241,0.824566030791707,31.4282535707785,3.0041,42.3434856211798,49.0299348344137,27.0016424901089
1967,12,0.108813317237489,5.83053373282813,0.881874058155775,31.5096985771112,3.0041,41.3350196853326,51.978200770261,19.5835616154674
1968,12,0.110688982322813,5.49718881161618,0.830201672628474,31.4523929747833,3.0041,40.8945724413508,53.8034480142428,19.4968476439297
1969,12,0.460216130915597,5.85017230674015,0.845853750431411,31.4701873525497,3.0041,41.6305295406369,55.0964909149567,31.3791132833805
1970,12,0.629852060352956,6.46834810653892,0.921386237769726,31.5674535117279,3.0041,42.5911399163895,56.7556805392041,43.1307925208473
1971,12,0.143098827273976,6.32783082165399,0.949626650864675,31.6344194640416,3.0041,42.0590757638343,59.0324446917593,39.2618213153655
1972,12,0.552848389510388,6.79969563912582,0.975253710910502,31.6882690691996,3.0041,43.0201668087463,60.5026536468473,49.3262234344001
1973,12,0.299608251728821,6.51482956903286,0.954087019900476,31.7111553885648,3.0041,42.4837802292269,62.6978402263667,45.0840662774783
1974,12,0.0578119717809761,6.1926902388053,0.930387144123967,31.7266320554242,3.0041,41.9116214101345,65.2266990454591,40.6232804956999
1975,12,0.35912708920381,6.4787811494859,0.941263703588904,31.7645211300955,3.0041,42.5477930723742,67.2103273832195,46.4907153299712
1976,12,0.0843881357634786,6.49717895589918,0.975675129806055,31.8413192667729,3.0041,42.4026614882417,69.532958967352,45.2055620047391
1977,12,0.0358047603852497,5.94644828500345,0.895152997728587,31.7869564815594,3.0041,41.6684625246767,71.6744579309169,39.1602064856047
1978,12,0.357683691073461,6.06902768904443,0.878824161786284,31.7775883627253,3.0041,42.0872239046295,73.1041965509641,41.3067624942627
1979,12,0.114487952331352,6.00311788890698,0.895770681289949,31.812540597682,3.0041,41.8300171202103,75.2099033353833,38.4961879720362
1980,12,0.124219901411292,5.89004092610453,0.881319184379097,31.8040283774352,3.0041,41.7037083893302,77.4723120662635,36.253739525548
1981,12,0.164171166101401,6.20818642141875,0.929217381336526,31.8719851062153,3.0041,42.1776600750719,79.8608603805217,37.4294104371422
1982,12,0.135132959897172,6.19457935109784,0.928306746581587,31.8974621855693,3.0041,42.1595812431459,82.0088392124478,35.8188769711008
1983,12,0.0421937717221397,5.86964774507159,0.888861773421048,31.8767562124799,3.0041,41.6815595026947,84.426660952899,31.65003449604
1984,12,0.0306926040481183,5.62513754498987,0.855061547022195,31.8461603939193,3.0041,41.3611520899795,86.6868683656141,28.408990449643
1985,12,0.594402471766978,5.95031279454862,0.845040459849689,31.8275081330025,3.0041,42.2213638591678,88.4199565964259,30.633885132475
1986,12,0.126613183067356,6.20692178766812,0.936828278884665,31.9490066176483,3.0041,42.2234698672685,91.4397505883252,28.8820212789453
1987,12,0.143576016300554,6.01717937435355,0.902769148454974,31.9334871585076,3.0041,42.0011116976167,93.635308757977,26.4231753756841
1988,12,0.0540310893058801,5.78097307682692,0.876153751519037,31.9179698793449,3.0041,41.6332277969967,95.9429926585969,23.4576337686845
1989,12,0.116840796193551,5.71034630093109,0.858815416766988,31.9006185492218,3.0041,41.5907210631135,97.9252993924802,21.8724967486081
1990,12,0.555997192261728,6.22451491253463,0.89036844990082,31.9402137783548,3.0041,42.615194333052,99.4941261225417,23.998639950221
1991,12,0.107103445462196,6.58067022621775,0.997552563361008,32.0947326515686,3.0041,42.7841588866095,102.516061568984,23.0109573095703
1992,12,0.0947700717925802,6.27453015237524,0.949457090865516,32.0843125822306,3.0041,42.4071698972639,105.06035055833,20.311895572418
1993,12,0.0712620994761628,5.85569176221982,0.886326811216543,32.03538988485,3.0041,41.8527705577625,107.554549897831,17.1911225754788
1994,12,0.0373408769763788,5.53992342080516,0.842673244777389,31.9875008702632,3.0041,41.4115384128221,109.935582042772,14.561860636046
1995,12,0.252232024897093,5.79711987351645,0.864351356891979,31.9989963271132,3.0041,41.9167995824187,112.023620873175,14.6602035618206
1996,12,0.539384420324162,6.46652680011039,0.934944353334741,32.0894590127084,3.0041,43.0344145864777,113.768505869116,16.3803114509804
1997,12,0.193827825757345,6.56346508436232,0.983405751303735,32.1775621795425,3.0041,42.9223608409659,115.922559614628,15.2053180223257
1998,12,0.0638553906220307,6.36945051282118,0.967534797877478,32.2047354179702,3.0041,42.6096761192909,118.590344336303,13.2583771251862
1999,12,0.446563879493035,5.84936365013873,0.844300364230635,32.076055195189,3.0041,42.2203830890514,121.040637366542,10.9633145407171
2000,12,0.363744450682359,6.11506214765934,0.898291101427119,32.131525170849,3.0041,42.5127228706179,123.835697584976,10.4079439414015
2001,12,0.0548074552670392,5.99711365795769,0.914582198403951,32.1705264552835,3.0041,42.1411297669122,126.418990688682,8.72318970600205
2002,12,0.199462259368557,6.2163047121485,0.930687635559253,32.206005544641,3.0041,42.5565601517173,128.299560303877,8.70769573059982
2003,12,0.323306217573343,6.52310840691621,0.96156310300222,32.2631047894571,3.0041,43.0751825169489,130.022137938645,8.93412354241363
2004,12,0.529551046815212,6.48255023830003,0.930667575950272,32.2568800982103,3.0041,43.2037489592758,132.388171496318,8.15100745151121
2005,12,0.198661475159726,6.37341997338198,0.950778083893528,32.3061988676581,3.0041,42.8331584000933,134.844862055501,6.7153964657034
2006,12,0.0334472660480518,6.35959170128211,0.972640085262208,32.3719640600179,3.0041,42.7417431126102,137.989577342984,5.60271873607654
2007,12,0.185722831849949,6.28191308561355,0.940491418542488,32.3635500471776,3.0041,42.7757773831836,139.92974307241,4.92202545520093
